kind,fund_code,fund_name,category,return_1m,return_3m,return_6m,return_1y,return_ytd,return_3y,return_5y,kiid_risk,daily_approx,is_katilim,manager
YAT,PNU,PUSULA PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,4.2745,12.892,,,,,,2.0,0.20354761904761903,False,PUSULA
YAT,PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,4.1955,12.7046,26.7603,59.916,36.9742,,,2.0,0.1997857142857143,False,PUSULA
YAT,TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,4.0736,12.5356,26.5837,60.3463,36.9056,,,2.0,0.19398095238095237,False,TERA
YAT,BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.8786,11.8439,24.4302,51.3664,32.3167,,,2.0,0.1846952380952381,False,BULLS
YAT,KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.8209,11.3567,22.8488,45.8788,28.2719,258.351,,2.0,0.18194761904761905,False,TRIVE
YAT,PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.6652,11.4413,24.0512,52.7532,32.9591,,,2.0,0.17453333333333335,False,ATLAS
YAT,RBP,RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.655,11.2294,23.5077,51.026,31.9416,,,1.0,0.17404761904761903,False,RE-PIE
YAT,HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.6459,10.9559,23.1017,52.1917,32.378,275.2871,,2.0,0.17361428571428572,False,ALLBATROSS
YAT,GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.6045,10.9162,23.6662,52.9059,32.7022,276.63,,1.0,0.17164285714285712,False,ONE
YAT,PRD,PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.5753,10.968,22.846,49.1013,29.8627,,,2.0,0.17025238095238096,False,PİRAMİT
YAT,TLV,TERA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,3.5515,10.4439,23.1328,,31.8376,,,1.0,0.1691190476190476,True,TERA
YAT,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.5395,10.3899,21.1699,46.4127,28.7974,257.6834,,2.0,0.16854761904761903,False,İŞ
YAT,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,3.5347,10.9778,22.7709,50.1394,30.9708,270.5935,,1.0,0.16831904761904762,False,PARDUS
YAT,PAB,A1 CAPİTAL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.5302,11.0169,22.6961,,31.2891,,,2.0,0.1681047619047619,False,A1
YAT,GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,3.516,10.5072,21.5047,47.0524,29.1972,29.4758,94.8573,1.0,0.16742857142857143,False,GARANTİ
YAT,IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.5157,10.4665,21.773,47.7112,29.4891,264.1522,443.857,1.0,0.1674142857142857,False,İSTANBUL
YAT,BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,3.5111,10.7488,22.1658,,30.5105,,,2.0,0.1671952380952381,False,BV
YAT,EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.446,10.5993,22.0189,48.9393,30.1252,264.5011,431.6204,2.0,0.1640952380952381,False,ASTRA
YAT,IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.4437,10.4396,21.5417,46.4882,29.251,256.0821,439.5918,1.0,0.1639857142857143,False,AKTİF
YAT,PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.4302,10.58,22.2237,48.3399,29.9714,270.3363,478.9835,1.0,0.16334285714285715,False,NUROL
YAT,FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3.4129,10.0798,21.2685,45.5528,28.6397,,,1.0,0.16251904761904762,False,FONMAP
